VesselID	Capacity	OperatingCost	Route	maxNum
1	1728	9.9669 	1	1
2	1872	9.9980 	1	1
3	2016	10.0256 	1	1
4	2160	10.0860 	1	1
5	2304	10.1513 	1	1
6	2448	10.1784 	1	1
7	2592	10.2243 	1	1
8	2736	10.3012 	1	1
9	2880	10.3315 	1	1
10	3024	10.4128 	1	1
11	3168	10.4532 	1	1
12	3312	10.5007 	1	1
13	3456	10.5645 	1	1
14	3600	10.6192 	1	1
15	3744	10.6324 	1	1
16	3888	10.6955 	1	1
17	4032	10.7339 	1	1
18	4176	10.8068 	1	1
19	4320	10.8459 	1	1
20	4464	10.8991 	1	1
21	4608	10.9245 	1	1
22	4752	10.9922 	1	1
23	4896	11.0569 	1	1
24	5040	11.0714 	1	1
25	5184	11.1632 	1	1
26	5328	11.1863 	1	1
27	5472	11.2337 	1	1
28	5616	11.3138 	1	1
29	5760	11.3596 	1	1
30	5904	11.3901 	1	1
31	6048	11.4508 	1	1
32	6192	11.4744 	1	1
33	6336	11.5682 	1	1
34	6480	11.5964 	1	1
35	6624	11.6411 	1	1
36	6768	11.6884 	1	1
37	6912	11.7653 	1	1
38	7056	11.8055 	1	1
39	7200	11.8492 	1	1
40	7344	11.8985 	1	1
41	7488	11.9389 	1	1
42	7632	12.0076 	1	1
43	7776	12.0478 	1	1
44	7920	12.0904 	1	1
45	8064	12.1650 	1	1
46	8208	12.1850 	1	1
47	8352	12.2505 	1	1
48	8496	12.2949 	1	1
49	8640	12.3462 	1	1
50	8784	12.3926 	1	1
51	8928	12.4472 	1	1
52	9072	12.4763 	1	1
53	9216	12.5617 	1	1
54	9360	12.6076 	1	1
55	9504	12.6249 	1	1
56	9648	12.6901 	1	1
57	9792	12.7580 	1	1
58	9936	12.7853 	1	1
59	10080	12.8532 	1	1
60	10224	12.8769 	1	1
61	10368	12.9617 	1	1
62	10512	12.9880 	1	1
63	10656	13.0520 	1	1
64	10800	13.1136 	1	1
65	10944	13.1660 	1	1
66	11088	13.1827 	1	1
67	11232	13.2678 	1	1
68	11376	13.3038 	1	1
69	11520	13.3289 	1	1
70	11664	13.3855 	1	1
71	11808	13.4566 	1	1
72	11952	13.4979 	1	1
73	12096	13.5528 	1	1
74	12240	13.5715 	1	1
75	12384	13.6387 	1	1
76	12528	13.7037 	1	1
77	12672	13.7421 	1	1
78	12816	13.8120 	1	1
79	12960	13.8688 	1	1
80	13104	13.9047 	1	1
81	13248	13.9273 	1	1
82	13392	13.9863 	1	1
83	13536	14.0242 	1	1
84	13680	14.0779 	1	1
85	13824	14.1655 	1	1
86	13968	14.2106 	1	1
87	14112	14.2343 	1	1
88	14256	14.3170 	1	1
89	14400	14.3216 	1	1
90	14544	14.3721 	1	1
91	14688	14.4667 	1	1
92	14832	14.5144 	1	1
93	14976	14.5515 	1	1
94	15120	14.6146 	1	1
95	15264	14.6678 	1	1
96	15408	14.6889 	1	1
97	15552	14.7419 	1	1
98	15696	14.7743 	1	1
99	15840	14.8604 	1	1
100	15984	14.8891 	1	1
